,Nome da Música,link,album,letra,artista
30,Cantinho Escondido,/marisa-monte/cantinho-escondido.html,Universo ao Meu Redor,"Dentro de cada pessoa Tem um cantinho escondido Decorado de saudade  Um lugar pro coração pousar Um endereço que freqüente sem morar Ali na esquina do sonho com a razão No centro do peito, no largo da ilusão  Coração não tem barreira, não Desce a ladeira, perde o freio devagar Eu quero ver cachoeira desabar Montanha, roleta russa, felicidade Posso me perder pela cidade Fazer o circo pegar fogo de verdade Mas tenho meu canto cativo pra voltar  E posso até mudar Mas onde quer que eu vá O meu cantinho há de ir Dentro  E posso até mudar Mas onde quer que eu vá O meu eu cantinho há de ir Dentro",Marisa Monte
31,Carinhoso (Com Paulinho da Viola),/marisa-monte/carinhoso-com-paulinho-da-viola.html,Coleção,"Meu coração Não sei por que Bate feliz Quando te vê E os meus olhos ficam sorrindo E pelas ruas vão te seguindo Mas mesmo assim Foges de mim  Ah se tu soubesses como eu sou Tão carinhoso E muito, muito que te quero E como é sincero meu amor Eu sei que tu não fugirias mais de mim Vem... vem... vem Vem Vem sentir o calor dos lábios meus A procura dos teus Vem matar essa paixão Que me devora o coração Só assim então Serei feliz Bem feliz Serei feliz bem feliz Serei feliz Feliz",Marisa Monte
32,Carnavália,/marisa-monte/carnavalia.html,Regravação de Tribalistas,"Bom dia Comunidade!  Vem pra minha ala Que hoje a nossa escola vai desfilar Vem fazer história Que hoje é dia de glória nesse lugar  Vem comemorar Escandalizar ninguem Vem me namorar Vou te namorar também  Vamos pra avenida Desfilar a vida Carnavalizar  Na Portela tem Mocidade Imperatriz No Império tem Uma Vila tão feliz Beija-Flor vem ver A porta-bandeira Na Mangueira tem morena da Tradição  Sinto a batucada se aproximar Estou ensaiado para te tocar Repique tocou O surdo escutou E o meu corasamborim  (Samborim)  Cuíca gemeu Será que era eu Quando ela passou por mim  La la la la la la la la la la La la la la la la la la la la  La la la la la la la la la la Aonde? La la la la la la la la la la  ""REPETE TUDO""  Diga aonde? Aonde? Diga aonde Aonde? Aonde? Diga aonde Aonde? Aonde? Aonde? Aonde",Marisa Monte
33,Cérebro Eletrônico,/marisa-monte/cerebro-eletronico.html,Barulhinho Bom: Uma Viagem Musical,De: Gilberto Gil (Vesão Marisa Monte)   O cérebro eletrônico faz tudo Faz quase tudo Faz quase tudo Mas ele é mudo O cérebro eletrônico comanda Manda e desmanda Ele é quem manda Mas ele não anda Só eu posso pensar Se Deus existe Só eu Só eu posso chorar Quando estou triste Só eu Eu cá com meus botões De carne e osso Eu falo e ouço. Hum Eu penso e posso Eu posso decidir Se vivo ou morro por que Porque sou vivo Vivo pra cachorro e sei Que cérebro eletrônico nenhum me dá socorro No meu caminho inevitável para a morte Porque sou vivo Sou muito vivo e sei Que a morte é nosso impulso primitivo e sei Que cérebro eletrônico nenhum me dá socorro Com seus botões de ferro e seus olhos de vidro,Marisa Monte
34,Chocolate,/marisa-monte/chocolate.html,MM,"Chocolate, chocolate, chocolate Eu só quero chocolate....Só quero chocolate Não adianta vir com guaraná pra mim  É chocolate que eu quero beber Não quero chá, não quero café Não quero coca-cola, me liguei no chocolate Eu me liguei, só quero chocolate Não adianta vir com guaraná pra mim É chocolate que eu quero beber Chocolate, chocolate, chocolate Eu só quero chocolate....Só quero chocolate Não adianta vir com guaraná pra mim É chocolate que eu quero beber  Não quero chá, não quero café Não quero coca-cola, me liguei no chocolate Só quero chocolate Não adianta vir com guaraná pra mim É chocolate que eu quero beber Chocolate, chocolate, chocolate Eu só quero chocolate....  Não adianta vir com guaraná pra mim É chocolate que eu quero beber  Chocolate, chocolate, chocolate Chocolate, chocolate, chocolate chocolate, chocolate, chocolate",Marisa Monte
35,Chuva no Brejo,/marisa-monte/chuva-no-brejo.html,Barulhinho Bom: Uma Viagem Musical,Olha como a chuva cai E7 A E molha a folha aqui na telha A C#m Bm Faz um som assim E7 A Um barulhinho bom  A C#m Bm Faz um som assim E7 A Um barulhinho bom  A D Água nova C#m Bm Vida veio ver-te E7 A Voa passarinho A C#m Bm No teu canto canta E7 A Antiga cantiga  A C#m Bm No teu canto canta E7 A Antiga cantiga,Marisa Monte
36,Chuva no Mar,/marisa-monte/chuva-no-mar.html,Coleção,"Coisas transformam-se em mim É como chuva no mar Se desmancha assim em Ondas a me atravessar Um corpo sopro no ar  Com um nome pra chamar É só alguém batizar Nome para chamar de Nuvem, vidraça, varal Asa, desejo, quintal O horizonte lá longe Tudo o que o olho alcançar  E o que ninguém escutar Te invade sem parar Te transforma sem ninguém notar Frases, vozes, cores Ondas, frequências, sinais O mundo é grande demais  Coisas transformam-se em mim Por todo o mundo é assim  Isso nunca vai ter fim",Marisa Monte
37,Cinco Minutos,/marisa-monte/cinco-minutos.html,"Memórias, Crônicas e Declaraçoes de Amor","Pedi você Prá esperar 5 minutos só Você foi embora sem me atender Não sabe o que perdeu Pois você não viu, você não viu... Como eu fiquei Pedi Você Prá esperar 5 minutos só você foi embora, embora, embora sem me atender... pois você não viu, não viu, não viu como eu fiquei dizem que foi chorando, sorrindo, cantando Os meus amigos, até disseram Que foi amando, amando Pois você não sabe, você não sabe E nunca, e nunca, E nunca, e nunca,  Vai saber porque Pois você não sabe quanto vale 5 minutos, na vida",Marisa Monte
38,Comida,/marisa-monte/comida.html,MM,"bebida é água. comida é pasto. você tem sede de que? você tem fome de que? a gente não quer só comida a gente quer comida, diversão e arte. a gente não quer só comida, a gente quer saída para qualquer parte. a gente não quer só comida, a gente quer bebida, diversão, balé. a gente não quer só comida, a gente quer a vida como a vida quer.  bebida é água. comida é pasto. você tem sede de que? você tem fome de que? a gente não quer só comer, a gente quer comer e quer fazer amor. a gente não quer só comer, a gente quer prazer pra aliviar a dor. a gente não quer só dinheiro, a gente quer dinheiro e felicidade. a gente não quer só dinheiro, a gente quer inteiro e não pela metade. bebida é água. comida é pasto. você tem sede de que? você tem fome de que? ",Marisa Monte
39,Dança da Solidão,/marisa-monte/danca-da-solidao.html,Barulhinho Bom: Uma Viagem Musical,"Solidão é lava que cobre tudo Amargura em minha boca Sorri seus dentes de chumbo Solidão palavra cavada no coração Resignado e mudo No compasso da desilusão  (REFRÃO)x2 Desilusão, desilusão Danço eu dança você Na dança da solidão  Camélia ficou viúva, Joana se apaixonou, Maria tentou a morte, por causa do seu amor Meu pai sempre me dizia, meu filho tome cuidado Quando eu penso no futuro, não esqueço o meu passado  (REFRÃO)x2 Desilusão, desilusão Danço eu dança você Na dança da solidão.  Quando vem a madrugada, meu pensamento vagueia, Corro os dedos na viola, contemplando a lua cheia, Apesar de tudo existe, uma fonte de água pura, Quem beber daquela água não terá mais amargura.  (REFRÃO)x2 Desilusão, desilusão Danço eu dança você Na dança da solidão     Corregido por: Bianca Carvalho. 4/03/2010, Portugal.",Marisa Monte
