,Nome da Música,link,album,letra,artista
20,Eu Me Lembro (part. Silva),/clarice-falcao/eu-me-lembro-part-silva.html,Monomania,"Era manhã Três da tarde Quando ele chegou Foi ela que subiu Eu disse ""oi, fica à vontade"" Eu é que disse ""oi"", mas ela não ouviu  E foi assim que eu vi que a vida Colocou ele/ela pra mim Ali naquela terça-feira/quinta-feira De setembro/dezembro Por isso eu sei de cada luz De cada cor de cor Pode me perguntar de cada coisa Que eu me lembro  A festa foi muito animada Oito ou nove gatos pingados no salão Eu adorei a feijoada Era presunto enrolado no melão  E foi assim que eu vi que a vida Colocou ele/ela pra mim Ali naquela terça-feira/quinta-feira De setembro/dezembro Por isso eu sei de cada luz De cada cor de cor Pode me perguntar de cada coisa Que eu me lembro  Ela me achou muito engraçado Ele falou, falou e eu fingi que ri A blusa dela tava do lado errado Ele adorou o jeito que eu me vesti  E foi assim que eu vi que a vida Colocou ele/ela pra mim Ali naquela terça-feira/quinta-feira De setembro/dezembro Por isso eu sei de cada luz De cada cor de cor Pode me perguntar de cada coisa Que eu me lembro  Eu me lembro Eu me lembro Eu me lembro",Clarice Falcão
21,Eu Sou Problema Meu,/clarice-falcao/eu-sou-problema-meu.html,Problema Meu,"Não sei de ninguém que me vendeu Por dois camelos pra você Em um negócio armado no meio da rua Nem cartório algum reconheceu Um documento que explicita em papel Que legalmente eu sou sua  Quando eu disse sim aquela hora Eu disse sim àquela hora Eu não disse sim por toda eternidade Eu não sei se você tá por fora Mas eu não tenho registro compra-e-venda Feito uma propriedade pessoal  Não me leve a mal Mas você não me tem Eu não sou um chapéu No armário de alguém Não valho um real Também não valho cem Eu sou problema meu  Eu nasci pessoa gente, eu não nasci coisa Eu não sou brinde de criança Nem presente de natal Não me espere aí na sua estante Nem agora nem por três vezes sem juros Nem no seu cheque especial  Não me leve a mal Mas você não me tem Eu não sou um chapéu No armário de alguém Não valho um real Também não valho cem Eu sou problema meu",Clarice Falcão
22,Fred Astaire,/clarice-falcao/fred-astaire.html,Monomania,"Deu pra escutar A canção que tocou pra gente E o meu coração que de repente Inventou de sapatear?  Ou eu fui louca E tudo foi um grande engano E eu faço o plano e o contra plano De um filme prestes a acabar?  Só pra saber Nesse tal filme de romance Antes que o público se canse Você me beija no final?  Um sim cai bem Mas não se sinta pressionado Porque um beijo obrigado Na tela imprime meio mal  Sem problema Ser figurante na sua história E olha, nem força sua memória Nem nome eu preciso ter  Mas cuidado Me deixa no canto da sala Que se eu tiver alguma fala Eu mudo pra ""amo você""",Clarice Falcão
23,Fred Astaire (English Version),/clarice-falcao/fred-astaire-english-version.html,Monomania,"Could you hear it All the birds singing while we talked there And my heart being all Fred Astaire In an eternal musical?  Or was I crazy? Did I imagine we were perfect? Did I star alone the first act Of a romantic two men show?  Can you save me? Do I deserve perhaps a maybe To the ""will you ever call me, baby?"" Eternal question in my mind  I sure hope so Don't feel compelled to anything, though Just because I think watching you go Is the saddest thing that I can find  I'll survive it Being an extra in your story I'm fine with it, so don't be sorry I can be lady 22  If that's it, then Just keep my part completely silent Give me a tiny little line and I will change it to ""I love you""",Clarice Falcão
24,Horizontalmente,/clarice-falcao/horizontalmente.html,Tem Conserto,Eu já desisti De me prometer Que eu vou levantar Quando o sol sair Ele sempre sai E eu sempre aqui Na horizontal  Eu não quero mais Ter que tá de pé Pra não derramar A minha aflição Quero ela aqui Pertinho de mim Na horizontal  Hoje eu não saio dessa cama nem a pau Hoje eu não saio dessa cama nem a pau  Se um tribunal Proibir deitar Vou fingir que eu nem compreendi Vou ficar aqui Apressando o fim Bem horizontal  Hoje eu não saio dessa cama nem a pau Hoje eu não saio dessa cama nem a pau Hoje eu não saio dessa cama nem a pau Hoje eu não saio dessa cama nem a pau,Clarice Falcão
25,I'm Nobody,/clarice-falcao/im-nobody.html,,I'm nobody And before you say it cannot be You're gonna see The impossibility to see me  Intangible In a way that you will never know How far it goes And how constantly it seems to grow  Useless and out of sight Like winter coats in June Like sunglasses at night Like gravity in Moon  I'm nobody And before you say it cannot be You're gonna see The impossibility to see me  Intangible In a way that you will never know How far it goes And how constantly it seems to grow  Like cellphones during flight Like dreams during the day Like words stuck in your mouth When there's nothing left to say,Clarice Falcão
26,Irônico,/clarice-falcao/ironico.html,Problema Meu,"Queria te dizer Que esse amor todo por você Ele é irônico, é só irônico  A cada ""eu te amo"" que eu te mando Eu tô pensando: Isso é irônico, e é irônico  Só de pensar que cê pensou que era sério Falando sério, eu quero rir Que você acha que quando eu me descabelo Ao som de um cello, eu tô aí  Eu gosto de você como quem gosta De um vídeo do Youtube de alguém cantando mal Eu gosto de você como quem gosta De uma celebridade B  Eu já achei quem eu amasse de verdade E eu pensei que era muito bom amar Mas vai que alguém espalha isso na cidade Com que cara eu vou ficar?  Eu gosto de você como quem gosta De um perfil no Facebook que usa foto de casal Eu gosto de você como quem gosta De quem já saiu do Bbb  Queria te dizer Que esse amor todo por você Ele é irônico, é só irônico  A cada ""eu te amo"" que eu te mando Eu tô pensando: Isso é irônico, e é irônico  Só de pensar que cê pensou que era sério Falando sério, eu quero rir Que você acha que quando eu me descabelo Ao som de um cello, eu tô aí",Clarice Falcão
27,L'amour Toujours (I'll Fly with You),/clarice-falcao/lamour-toujours-ill-fly-with-you.html,Problema Meu,"I still believe in your eyes I just don't care What you've done in your life  Baby I'll always be here by your side Don't leave me waiting too long Please come by  And I'll fly with you  Every day and every night I always dream that you are by my side Because I, I'll make you love me someday  You'll be my baby And we'll fly away And I'll fly with you  And I'll fly with you And I'll fly with you And I'll fly with you",Clarice Falcão
28,Macaé,/clarice-falcao/macae.html,Monomania,"Ei, se eu tiver coragem de dizer que eu meio gosto de você Você vai fugir a pé? E se eu falar que você é tudo o que eu sempre quis pra ser feliz Você vai pro lado oposto ao que eu estiver?  Eu queria tanto que você não fugisse de mim Mas se fosse eu, eu fugia  Ei, vai pegar mal se eu contar que eu imprimi todo o seu mapa astral? Você foge assim que der, quando souber? E se eu falar que eu decorei seu Rg só pra se precisar Você vai pra um chalé em Macaé?  Eu queria tanto que você não fugisse de mim Mas se fosse eu, eu fugia  Ei, se eu falar foi por amor que eu invadi o seu computador Você pega um avião? E se eu contar de uma só vez como eu achei sua senha do cartão Você foge pro Japão esse verão?  Eu queria tanto que você não fugisse de mim Mas se fosse eu, eu fugia  Ei, se eu contar como é que eu me senti ao grampear seu celular Você vai numa Dp? E se eu mostrar o cianureto que eu comprei pra gente se matar Você manda me prender no amanhecer?  Eu queria tanto que você não fugisse de mim Mas se fosse eu, eu fugia",Clarice Falcão
29,Mais Normal,/clarice-falcao/mais-normal.html,,Eu sei viver com um nariz Mas se eu tivesse três Talvez eu fosse mais interessante Se tivesse um rabo Que viesse até aqui E uma cicatriz apavorante  Vai que alguém tá aí Vai que alguém me escuta pedir  Se eu fosse tipo assim Um pouco mais normal Exatamente igual A quem não é igual a mim  Bem melhor ser toda azul Que ser de uma cor que nem parece cor Ser desbotada Sem falar na minha voz Pois produzir um som que não causa terror Não vale nada  Vai que alguém tá aí Vai que alguém me escuta pedir  Se eu fosse tipo assim Um pouco mais normal Exatamente igual A quem não é igual a mim  Se eu fosse tipo assim Um pouco mais normal Exatamente igual A quem não é igual a mim  Mas eu só tenho um nariz Também não sou azul Não tenho cicatriz Sou meio assim sem cor Não tenho rabo que espalha o terror Só tenho essa voz  Se eu fosse tipo assim Um pouco mais normal Não ia ser legal Deixar de ser igual a mim  Se eu fosse tipo assim Um pouco mais normal Não ia ser legal Deixar de ser igual a mim,Clarice Falcão
